timestamp,open,high,low,close,volume,ema_fast,ema_slow,price_vs_ema_fast,price_vs_ema_slow,ema_cross_signal,rsi,macd,macd_signal,macd_histogram,macd_normalized,atr,atr_normalized,bb_upper,bb_middle,bb_lower,bb_position,bb_width,volume_ma,volume_ratio,obv,obv_normalized,vwap,price_vs_vwap,price_change_5,price_change_10,close_position_in_range,rsi_normalized,swing_high,swing_low,last_swing_high,last_swing_low,po3_accumulation,po3_manipulation,po3_distribution,po3_phase,po3_strength,bos_bullish,bos_bearish,bos_strength,bos_signal,bullish_order_block,bearish_order_block,order_block_strength,order_block_signal,liquidity_sweep_high,liquidity_sweep_low,liquidity_sweep_strength,liquidity_sweep_signal,fvg_bullish,fvg_bearish,fvg_size,fvg_signal,market_structure,structure_strength,smc_bullish_strength,smc_bearish_strength,smc_signal,smc_signal_abs,combined_bullish_score,combined_bearish_score,signal_quality_score,combined_signal,enhanced_smc_signal,signal_confluence_enhanced,enhanced_bullish_score,enhanced_bearish_score,enhanced_signal_quality,technical_indicator_confirmation,enhanced_combined_signal,basic_filter_score,basic_filter_reasons,confluence_score,confluence_signals,layer1_passed,layer2_passed,layer3_passed,final_filter_passed,final_signal_score,signal_strength_level,filtered_action,action_confidence,suggested_position_size
2025-05-07 14:00:00,147.17,147.17,147.08,147.08,279.567,,,,,0,,,,,,0.0,0.0,,,,0.5,,,1.0,279.567,0.0,,0.0,,,0.0,,0,0,,,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,False,False,False,False,0.0,0,0,0.0,0.0
2025-05-07 14:15:00,147.05,147.49,146.93,147.46,4782.184,,,,,0,,,,,,0.0,0.0,,,,0.5,,,1.0,5061.751,0.0,,0.0,,,0.9464285714285696,,0,0,,,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,False,False,False,False,0.0,0,0,0.0,0.0
2025-05-07 14:30:00,147.44,147.51,147.01,147.1,3383.512,,,,,0,,,,,,0.0,0.0,,,,0.5,,,1.0,1678.239,0.0,,0.0,,,0.18000000000000682,,0,0,,,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,False,False,False,False,0.0,0,0,0.0,0.0
2025-05-07 14:45:00,147.16,147.16,145.81,146.11,6705.49,,,,,0,,,,,,0.0,0.0,,,,0.5,,,1.0,-5027.251,0.0,,0.0,,,0.2222222222222316,,0,0,,,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,False,False,False,False,0.0,0,0,0.0,0.0
2025-05-07 15:00:00,146.12,146.17,145.66,146.07,5369.566,,,,,0,,,,,,0.0,0.0,,,,0.5,,,1.0,-10396.817,0.0,,0.0,,,0.8039215686274587,,0,0,,,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.005713897013808608,-1,0,0.0,0.0,0.05713897013808608,-0.05713897013808608,0.05713897013808608,0.0,0.0,0.0,0.0,-0.05713897013808608,1.0,0.0,0.022855588055234435,0.022855588055234435,0.0,-0.022855588055234435,0.0,,0.0,,False,False,False,False,0.0,0,0,0.0,0.0
2025-05-07 15:15:00,146.07,146.29,145.88,146.29,2117.684,,,,,0,,,,,,0.0,0.0,,,,0.5,,,1.0,-8279.132999999998,0.0,,0.0,-0.0053712265433778494,,1.0,,0,0,,,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,False,False,False,False,0.0,0,0,0.0,0.0
2025-05-07 15:30:00,146.29,146.29,146.29,146.29,0.0,,,,,0,,,,,,0.0,0.0,,,,0.5,,,1.0,-8279.132999999998,0.0,,0.0,-0.007934355079343702,,0.5,,0,0,,,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,False,False,False,False,0.0,0,0,0.0,0.0
2025-05-07 15:45:00,146.29,146.32,145.54,145.79,3506.258,,,,,0,,,,,,0.0,0.0,,,,0.5,,,1.0,-11785.390999999998,0.0,,0.0,-0.00890550645819177,,0.32051282051282004,,0,0,,,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,False,False,False,False,0.0,0,0,0.0,0.0
2025-05-07 16:00:00,145.78,145.78,145.23,145.47,4695.456,,,,,0,,,,,,0.0,0.0,,,,0.5,,,1.0,-16480.846999999998,0.0,,0.0,-0.004380261446855216,,0.4363636363636439,,0,0,,,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.003486225989472903,-1,0,0.0,0.0,0.03486225989472903,-0.03486225989472903,0.03486225989472903,0.0,0.0,0.0,0.0,-0.03486225989472903,1.0,0.0,0.013944903957891611,0.013944903957891611,0.0,-0.013944903957891611,0.0,,0.0,,False,False,False,False,0.0,0,0,0.0,0.0
2025-05-07 16:15:00,145.47,145.47,145.14,145.14,3701.729,,,,,0,,,,,,0.0,0.0,,,,0.5,,,1.0,-20182.575999999997,0.0,,0.0,-0.006366810433353964,,0.0,,0,0,,,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,False,False,False,False,0.0,0,0,0.0,0.0
2025-05-07 16:30:00,145.1,145.7,145.1,145.7,5191.39,,,,,0,,,,,,0.0,0.0,,,,0.5,,,1.0,-14991.185999999998,0.0,,0.0,-0.0040330849682138625,-0.009382648898558776,1.0,,0,1,,145.1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,False,False,False,False,0.0,0,0,0.0,0.0
